metric_id,metric_name,unit,invert_score,description,source
SERIAL PK,VARCHAR,VARCHAR,BOOLEAN,TEXT,VARCHAR
1,Operational_energy,MWh/Year,FALSE,Operational energy use cosumed by offices and data centres each year,
2,Renewable_energy_percent,%,FALSE,Renewable energy % per year,
3,C02_emissions_yearly,tCO2e,FALSE,Total greenhouse gas emmisions,
4,Sustainable_investment_ratio,%,FALSE,Sustainable investment ratio,
5,Employee_sustainability,%,FALSE,Employee sustainability training % workforce trained,
6,Shipping_emmisions,tCO2e/km,FALSE,Shipping emissions from logistics and transport,
7,Waste_recycled,%,FALSE,proportion of waste recycled,
8,Packaging_sustainability,%,FALSE,proportion of sustainable packaging,
9,food_waste,Tonne/year,FALSE,Food Waste per year,
10,Water_use,Million cubic m/year,FALSE,water usage per year,
11,Local_source,%,FALSE,locally sourced goods proportion,
12,recycled_materials,%,FALSE,recycled material used  in packaging/production,
13,shipping_distance,km,FALSE,shipping distance avg,
14,Energy_intensity,MWh/tonne,FALSE,energy intensity,
15,waste_landfill,tonne.year,FALSE,waste to landfill,
16,Process_efficiency,%,FALSE,process efficiency,
17,Air_pollutant_emmisions,kg/year,FALSE,air pollution emmisions,
18,Embedded_carbon_per_project,tCO2e/proj,FALSE,embedded carbon per project,
19,Construction_waste_recycling,%,FALSE,Construction waste recycled,
20,sustainable_material,%,FALSE,Sustainable material share,
21,on_site_renewable_energy,%,FALSE,on site renewable energy use,
